tipo_crime,bairro,descricao_modus_operandi,arma_utilizada,quantidade_vitimas,quantidade_suspeitos,idade_suspeito,cluster,status_binario,status_investigacao
Homicídio,Espinheiro,Assalto a Mão Armada,Objeto Contundente,1,1,45,3,1,Concluído
Furto,Torre,Assalto a Mão Armada,Faca,3,4,16,4,0,Arquivado
Latrocínio,Pina,Crime Cibernético,Arma de Fogo,4,3,43,0,1,Concluído
Ameaça,Pina,Fraude Online,Objeto Contundente,2,4,59,0,1,Concluído
Sequestro,Boa Viagem,Crime Cibernético,Nenhum,2,0,52,8,0,Arquivado
Ameaça,Afogados,Assalto a Mão Armada,Faca,2,4,25,5,0,Arquivado
Estelionato,Tamarineira,Arrombamento,Arma de Fogo,4,4,55,7,1,Concluído
Latrocínio,Imbiribeira,Golpe Telefônico,Explosivos,1,4,16,6,1,Concluído
Sequestro,Afogados,Crime Cibernético,Arma de Fogo,1,4,34,5,0,Arquivado
Estelionato,Torre,Arrombamento,Faca,3,1,53,4,0,Arquivado
Tráfico de Drogas,Graças,Estupro Coletivo,Explosivos,1,2,47,1,1,Concluído
Estupro,Casa Forte,Fraude Online,Arma de Fogo,0,4,46,2,1,Concluído
Estupro,Torre,Crime Cibernético,Objeto Contundente,1,2,21,4,1,Concluído
Estelionato,Boa Viagem,Assalto a Mão Armada,Arma de Fogo,1,0,51,8,0,Arquivado
Estelionato,Pina,Invasão Residencial,Explosivos,0,4,16,0,1,Concluído
Latrocínio,Tamarineira,Arrombamento,Arma de Fogo,3,4,35,7,1,Concluído
Sequestro,Afogados,Estupro Coletivo,Objeto Contundente,0,2,24,5,0,Arquivado
Roubo,Espinheiro,Uso de Arma de Fogo,Objeto Contundente,1,3,58,3,1,Concluído
Roubo,Casa Forte,Uso de Arma de Fogo,Explosivos,2,3,19,2,0,Arquivado
Sequestro,Espinheiro,Estelionato Bancário,Explosivos,0,0,47,3,1,Concluído
Tráfico de Drogas,Santo Amaro,Emboscada,Objeto Contundente,0,0,28,2,1,Concluído
Ameaça,Casa Forte,Assalto a Mão Armada,Faca,4,4,36,2,0,Arquivado
Latrocínio,Casa Forte,Golpe Telefônico,Faca,1,3,26,2,1,Concluído
Furto,Pina,Estupro Coletivo,Objeto Contundente,0,4,39,0,0,Arquivado
Homicídio,Boa Viagem,Golpe Telefônico,Objeto Contundente,0,0,61,8,1,Concluído
Latrocínio,Torre,Golpe Telefônico,Faca,0,2,30,4,0,Arquivado
Roubo,Pina,Estupro Coletivo,Explosivos,2,0,60,0,0,Arquivado
Estupro,Casa Forte,Emboscada,Nenhum,4,4,35,2,0,Arquivado
Tráfico de Drogas,Torre,Estelionato Bancário,Nenhum,0,4,65,4,1,Concluído
Furto,Torre,Arrombamento,Faca,0,0,21,4,0,Arquivado
Tráfico de Drogas,Espinheiro,Emboscada,Nenhum,0,2,66,3,0,Arquivado
Violência Doméstica,Imbiribeira,Golpe Telefônico,Arma de Fogo,4,0,65,6,0,Arquivado
Latrocínio,Santo Amaro,Assalto a Mão Armada,Nenhum,2,1,29,2,0,Arquivado
Estupro,Casa Forte,Estelionato Bancário,Objeto Contundente,2,0,64,2,1,Concluído
Estelionato,Afogados,Fraude Online,Explosivos,2,1,29,5,1,Concluído
Tráfico de Drogas,Casa Forte,Assalto a Mão Armada,Nenhum,2,2,50,2,1,Concluído
Tráfico de Drogas,Afogados,Estelionato Bancário,Arma de Fogo,1,3,39,5,1,Concluído
Roubo,Santo Amaro,Crime Cibernético,Explosivos,2,4,18,2,0,Arquivado
Ameaça,Tamarineira,Estupro Coletivo,Explosivos,2,4,63,7,1,Concluído
Latrocínio,Boa Viagem,Assalto a Mão Armada,Objeto Contundente,2,1,66,8,0,Arquivado
Latrocínio,Graças,Emboscada,Objeto Contundente,3,4,16,1,1,Concluído
Furto,Boa Viagem,Crime Cibernético,Explosivos,1,1,22,8,1,Concluído
Sequestro,Tamarineira,Estupro Coletivo,Objeto Contundente,3,3,22,7,0,Arquivado
Tráfico de Drogas,Santo Amaro,Fraude Online,Nenhum,0,0,37,2,1,Concluído
Ameaça,Graças,Fraude Online,Faca,1,3,19,1,0,Arquivado
Homicídio,Afogados,Assalto a Mão Armada,Arma de Fogo,3,0,47,5,1,Concluído
Estupro,Afogados,Golpe Telefônico,Explosivos,0,0,68,5,0,Arquivado
Latrocínio,Espinheiro,Estelionato Bancário,Explosivos,0,0,19,3,0,Arquivado
Estelionato,Pina,Estupro Coletivo,Nenhum,0,4,30,0,1,Concluído
Tráfico de Drogas,Santo Amaro,Fraude Online,Objeto Contundente,0,4,57,2,0,Arquivado
Homicídio,Torre,Emboscada,Arma de Fogo,3,2,57,4,1,Concluído
Sequestro,Torre,Crime Cibernético,Faca,2,1,46,4,0,Arquivado
Homicídio,Torre,Arrombamento,Arma de Fogo,3,4,41,4,1,Concluído
Furto,Afogados,Estelionato Bancário,Faca,0,1,44,5,1,Concluído
Homicídio,Graças,Golpe Telefônico,Arma de Fogo,1,0,22,1,0,Arquivado
Homicídio,Santo Amaro,Fraude Online,Nenhum,3,0,38,2,0,Arquivado
Furto,Graças,Arrombamento,Explosivos,0,4,60,1,1,Concluído
Sequestro,Santo Amaro,Uso de Arma de Fogo,Objeto Contundente,1,4,63,2,1,Concluído
Estupro,Torre,Arrombamento,Nenhum,3,2,18,4,1,Concluído
Violência Doméstica,Afogados,Emboscada,Nenhum,2,3,45,5,1,Concluído
Estelionato,Casa Forte,Crime Cibernético,Faca,3,3,14,2,0,Arquivado
Estupro,Torre,Estelionato Bancário,Nenhum,0,3,62,4,1,Concluído
Ameaça,Pina,Arrombamento,Faca,2,3,39,0,0,Arquivado
Violência Doméstica,Espinheiro,Estupro Coletivo,Faca,4,1,47,3,1,Concluído
Estupro,Santo Amaro,Assalto a Mão Armada,Faca,3,2,41,2,0,Arquivado
Estupro,Imbiribeira,Crime Cibernético,Explosivos,3,0,61,6,1,Concluído
Roubo,Casa Forte,Uso de Arma de Fogo,Faca,0,3,25,2,1,Concluído
Estupro,Santo Amaro,Golpe Telefônico,Nenhum,2,1,37,2,0,Arquivado
Furto,Pina,Uso de Arma de Fogo,Explosivos,0,0,66,0,0,Arquivado
Latrocínio,Casa Forte,Estelionato Bancário,Faca,2,2,22,2,0,Arquivado
Homicídio,Espinheiro,Invasão Residencial,Explosivos,1,4,50,3,1,Concluído
Latrocínio,Graças,Invasão Residencial,Faca,1,0,22,1,0,Arquivado
Latrocínio,Santo Amaro,Estupro Coletivo,Nenhum,0,0,56,2,1,Concluído
Roubo,Espinheiro,Estelionato Bancário,Nenhum,1,0,58,3,1,Concluído
Ameaça,Pina,Estelionato Bancário,Objeto Contundente,3,4,69,0,0,Arquivado
Latrocínio,Graças,Arrombamento,Explosivos,2,1,15,1,1,Concluído
Violência Doméstica,Pina,Invasão Residencial,Explosivos,2,4,32,0,0,Arquivado
Violência Doméstica,Casa Forte,Emboscada,Nenhum,4,4,25,2,1,Concluído
Roubo,Pina,Golpe Telefônico,Arma de Fogo,3,1,39,0,1,Concluído
Estelionato,Espinheiro,Assalto a Mão Armada,Arma de Fogo,1,1,31,3,1,Concluído
Estupro,Imbiribeira,Crime Cibernético,Arma de Fogo,3,0,66,6,1,Concluído
Ameaça,Torre,Uso de Arma de Fogo,Nenhum,2,1,69,4,1,Concluído
Tráfico de Drogas,Casa Forte,Fraude Online,Objeto Contundente,3,4,20,2,1,Concluído
Tráfico de Drogas,Casa Forte,Golpe Telefônico,Nenhum,2,0,56,2,1,Concluído
Tráfico de Drogas,Casa Forte,Invasão Residencial,Explosivos,4,0,34,2,0,Arquivado
Violência Doméstica,Santo Amaro,Arrombamento,Nenhum,3,1,17,2,1,Concluído
Ameaça,Afogados,Fraude Online,Faca,2,4,27,5,0,Arquivado
Estupro,Boa Viagem,Emboscada,Explosivos,3,1,59,8,0,Arquivado
Estelionato,Espinheiro,Golpe Telefônico,Arma de Fogo,4,3,50,3,0,Arquivado
Roubo,Espinheiro,Arrombamento,Arma de Fogo,3,4,48,3,1,Concluído
Homicídio,Casa Forte,Estupro Coletivo,Objeto Contundente,3,3,24,2,1,Concluído
Ameaça,Torre,Uso de Arma de Fogo,Nenhum,3,3,37,4,1,Concluído
Furto,Espinheiro,Uso de Arma de Fogo,Objeto Contundente,0,4,36,3,1,Concluído
Ameaça,Casa Forte,Invasão Residencial,Nenhum,4,1,20,2,0,Arquivado
Roubo,Imbiribeira,Arrombamento,Explosivos,1,2,58,6,1,Concluído
Ameaça,Espinheiro,Invasão Residencial,Nenhum,4,2,16,3,0,Arquivado
Estupro,Imbiribeira,Arrombamento,Nenhum,1,2,55,6,0,Arquivado
Estupro,Boa Viagem,Emboscada,Objeto Contundente,0,3,19,8,1,Concluído
Estupro,Boa Viagem,Emboscada,Objeto Contundente,2,1,58,8,1,Concluído
Furto,Graças,Fraude Online,Nenhum,0,4,54,1,0,Arquivado
Ameaça,Torre,Golpe Telefônico,Arma de Fogo,3,3,25,4,1,Concluído
Roubo,Torre,Emboscada,Arma de Fogo,0,4,48,4,1,Concluído
Sequestro,Casa Forte,Crime Cibernético,Explosivos,1,0,24,2,0,Arquivado
Furto,Torre,Fraude Online,Objeto Contundente,2,3,31,4,1,Concluído
Estupro,Tamarineira,Arrombamento,Nenhum,0,3,29,7,1,Concluído
Furto,Santo Amaro,Assalto a Mão Armada,Objeto Contundente,3,4,31,2,1,Concluído
Latrocínio,Afogados,Estelionato Bancário,Nenhum,1,4,54,5,1,Concluído
Estupro,Tamarineira,Estupro Coletivo,Nenhum,1,3,28,7,0,Arquivado
Violência Doméstica,Torre,Estupro Coletivo,Explosivos,4,4,28,4,1,Concluído
Sequestro,Espinheiro,Assalto a Mão Armada,Objeto Contundente,2,2,48,3,0,Arquivado
Tráfico de Drogas,Boa Viagem,Assalto a Mão Armada,Explosivos,1,0,56,8,0,Arquivado
Violência Doméstica,Torre,Assalto a Mão Armada,Objeto Contundente,3,0,38,4,0,Arquivado
Estupro,Tamarineira,Fraude Online,Explosivos,0,4,31,7,0,Arquivado
Furto,Tamarineira,Estelionato Bancário,Arma de Fogo,1,1,24,7,1,Concluído
Estupro,Pina,Emboscada,Objeto Contundente,2,3,34,0,0,Arquivado
Latrocínio,Espinheiro,Uso de Arma de Fogo,Objeto Contundente,2,0,24,3,1,Concluído
Estelionato,Imbiribeira,Uso de Arma de Fogo,Objeto Contundente,2,1,27,6,1,Concluído
Latrocínio,Tamarineira,Uso de Arma de Fogo,Nenhum,3,1,31,7,1,Concluído
Ameaça,Torre,Invasão Residencial,Arma de Fogo,4,4,68,4,0,Arquivado
Roubo,Pina,Estelionato Bancário,Arma de Fogo,0,2,36,0,1,Concluído
Estupro,Graças,Uso de Arma de Fogo,Faca,0,4,45,1,0,Arquivado
Furto,Tamarineira,Crime Cibernético,Objeto Contundente,2,2,37,7,0,Arquivado
Violência Doméstica,Espinheiro,Estelionato Bancário,Objeto Contundente,3,0,40,3,0,Arquivado
Latrocínio,Imbiribeira,Crime Cibernético,Arma de Fogo,4,0,38,6,0,Arquivado
Roubo,Imbiribeira,Fraude Online,Explosivos,4,2,22,6,1,Concluído
Ameaça,Casa Forte,Arrombamento,Explosivos,2,3,36,2,1,Concluído
Estupro,Imbiribeira,Assalto a Mão Armada,Explosivos,2,4,51,6,0,Arquivado
Sequestro,Torre,Invasão Residencial,Explosivos,1,3,28,4,1,Concluído
Violência Doméstica,Graças,Crime Cibernético,Objeto Contundente,1,1,21,1,0,Arquivado
Sequestro,Torre,Assalto a Mão Armada,Nenhum,3,4,66,4,1,Concluído
Estelionato,Pina,Invasão Residencial,Faca,1,3,49,0,0,Arquivado
Roubo,Graças,Invasão Residencial,Faca,4,3,45,1,1,Concluído
Violência Doméstica,Afogados,Invasão Residencial,Explosivos,4,1,43,5,1,Concluído
Sequestro,Tamarineira,Invasão Residencial,Faca,4,4,32,7,0,Arquivado
Roubo,Imbiribeira,Golpe Telefônico,Faca,2,3,43,6,0,Arquivado
Tráfico de Drogas,Torre,Assalto a Mão Armada,Objeto Contundente,2,2,58,4,1,Concluído
Violência Doméstica,Santo Amaro,Uso de Arma de Fogo,Nenhum,4,4,15,2,0,Arquivado
Estelionato,Espinheiro,Arrombamento,Faca,3,2,16,3,0,Arquivado
Furto,Graças,Assalto a Mão Armada,Faca,1,4,40,1,1,Concluído
Roubo,Afogados,Golpe Telefônico,Arma de Fogo,2,0,24,5,1,Concluído
Latrocínio,Torre,Invasão Residencial,Faca,3,1,61,4,1,Concluído
Roubo,Tamarineira,Emboscada,Nenhum,1,2,64,7,0,Arquivado
Furto,Boa Viagem,Estelionato Bancário,Faca,4,0,39,8,1,Concluído
Sequestro,Graças,Fraude Online,Nenhum,0,3,48,1,0,Arquivado
Roubo,Tamarineira,Crime Cibernético,Nenhum,1,2,66,7,1,Concluído
Estelionato,Afogados,Fraude Online,Faca,0,3,27,5,1,Concluído
Roubo,Graças,Estupro Coletivo,Nenhum,4,0,41,1,1,Concluído
Sequestro,Graças,Emboscada,Nenhum,1,4,65,1,0,Arquivado
Latrocínio,Graças,Golpe Telefônico,Arma de Fogo,3,2,61,1,1,Concluído
Roubo,Graças,Estupro Coletivo,Nenhum,3,1,42,1,0,Arquivado
Violência Doméstica,Tamarineira,Estupro Coletivo,Nenhum,1,1,42,7,1,Concluído
Estupro,Pina,Estelionato Bancário,Arma de Fogo,2,2,58,0,0,Arquivado
Tráfico de Drogas,Casa Forte,Uso de Arma de Fogo,Objeto Contundente,2,2,59,2,0,Arquivado
Estelionato,Boa Viagem,Estupro Coletivo,Explosivos,0,3,36,8,1,Concluído
Estupro,Torre,Invasão Residencial,Arma de Fogo,2,1,16,4,0,Arquivado
Violência Doméstica,Afogados,Uso de Arma de Fogo,Arma de Fogo,3,3,30,5,0,Arquivado
Homicídio,Casa Forte,Assalto a Mão Armada,Nenhum,2,0,46,2,1,Concluído
Sequestro,Santo Amaro,Estelionato Bancário,Explosivos,4,1,48,2,1,Concluído
Homicídio,Boa Viagem,Fraude Online,Nenhum,2,3,42,8,1,Concluído
Estelionato,Torre,Uso de Arma de Fogo,Objeto Contundente,3,3,63,4,0,Arquivado
Estelionato,Boa Viagem,Invasão Residencial,Faca,4,1,39,8,1,Concluído
Estelionato,Pina,Uso de Arma de Fogo,Faca,1,4,28,0,0,Arquivado
Latrocínio,Casa Forte,Fraude Online,Explosivos,0,0,45,2,0,Arquivado
Furto,Pina,Emboscada,Arma de Fogo,2,4,51,0,1,Concluído
Estupro,Boa Viagem,Emboscada,Objeto Contundente,0,2,15,8,0,Arquivado
Tráfico de Drogas,Boa Viagem,Estupro Coletivo,Explosivos,4,4,14,8,1,Concluído
Sequestro,Santo Amaro,Arrombamento,Objeto Contundente,1,3,42,2,0,Arquivado
Sequestro,Graças,Invasão Residencial,Nenhum,4,1,48,1,1,Concluído
Ameaça,Espinheiro,Assalto a Mão Armada,Nenhum,0,4,49,3,0,Arquivado
Estupro,Espinheiro,Assalto a Mão Armada,Arma de Fogo,0,3,40,3,0,Arquivado
Estupro,Espinheiro,Fraude Online,Explosivos,2,4,25,3,1,Concluído
Latrocínio,Tamarineira,Arrombamento,Objeto Contundente,1,3,56,7,1,Concluído
Violência Doméstica,Tamarineira,Emboscada,Faca,0,1,25,7,0,Arquivado
Homicídio,Afogados,Assalto a Mão Armada,Arma de Fogo,2,4,19,5,1,Concluído
Sequestro,Casa Forte,Emboscada,Faca,3,4,24,2,1,Concluído
Sequestro,Pina,Estupro Coletivo,Arma de Fogo,3,3,62,0,1,Concluído
Furto,Tamarineira,Fraude Online,Objeto Contundente,0,0,59,7,0,Arquivado
Sequestro,Tamarineira,Assalto a Mão Armada,Nenhum,0,2,20,7,0,Arquivado
Latrocínio,Pina,Estelionato Bancário,Arma de Fogo,3,4,17,0,1,Concluído
Violência Doméstica,Santo Amaro,Assalto a Mão Armada,Explosivos,1,4,14,2,0,Arquivado
Latrocínio,Afogados,Assalto a Mão Armada,Arma de Fogo,4,3,52,5,0,Arquivado
Furto,Tamarineira,Invasão Residencial,Faca,0,2,67,7,0,Arquivado
Estupro,Graças,Fraude Online,Explosivos,2,3,34,1,0,Arquivado
Violência Doméstica,Torre,Invasão Residencial,Objeto Contundente,0,2,14,4,1,Concluído
Furto,Boa Viagem,Invasão Residencial,Nenhum,2,0,66,8,0,Arquivado
Latrocínio,Tamarineira,Fraude Online,Explosivos,1,4,44,7,1,Concluído
Violência Doméstica,Tamarineira,Estelionato Bancário,Explosivos,0,0,60,7,1,Concluído
Homicídio,Tamarineira,Fraude Online,Explosivos,4,1,28,7,0,Arquivado
Homicídio,Graças,Invasão Residencial,Arma de Fogo,3,2,64,1,0,Arquivado
Sequestro,Torre,Arrombamento,Explosivos,1,2,49,4,0,Arquivado
Latrocínio,Espinheiro,Invasão Residencial,Explosivos,1,4,60,3,1,Concluído
Roubo,Boa Viagem,Arrombamento,Explosivos,2,1,43,8,0,Arquivado
Estupro,Graças,Emboscada,Explosivos,0,3,65,1,1,Concluído
Estupro,Boa Viagem,Uso de Arma de Fogo,Objeto Contundente,1,2,20,8,0,Arquivado
Tráfico de Drogas,Tamarineira,Estelionato Bancário,Faca,3,1,19,7,1,Concluído
Ameaça,Afogados,Crime Cibernético,Arma de Fogo,0,1,24,5,1,Concluído
Furto,Torre,Assalto a Mão Armada,Arma de Fogo,4,3,46,4,1,Concluído
Sequestro,Santo Amaro,Estelionato Bancário,Explosivos,1,0,44,2,1,Concluído
Estelionato,Espinheiro,Estupro Coletivo,Arma de Fogo,4,2,31,3,1,Concluído
Roubo,Torre,Crime Cibernético,Explosivos,2,0,26,4,0,Arquivado
Violência Doméstica,Boa Viagem,Emboscada,Nenhum,4,1,22,8,1,Concluído
Latrocínio,Imbiribeira,Crime Cibernético,Objeto Contundente,0,1,67,6,1,Concluído
Violência Doméstica,Santo Amaro,Crime Cibernético,Faca,1,1,55,2,1,Concluído
Latrocínio,Torre,Invasão Residencial,Faca,0,4,44,4,1,Concluído
Tráfico de Drogas,Pina,Emboscada,Objeto Contundente,0,2,56,0,1,Concluído
Ameaça,Santo Amaro,Crime Cibernético,Arma de Fogo,0,0,69,2,1,Concluído
Violência Doméstica,Casa Forte,Invasão Residencial,Faca,2,4,47,2,1,Concluído
Latrocínio,Torre,Emboscada,Nenhum,0,3,32,4,0,Arquivado
Sequestro,Santo Amaro,Uso de Arma de Fogo,Faca,4,3,15,2,0,Arquivado
Ameaça,Tamarineira,Estelionato Bancário,Nenhum,3,1,69,7,0,Arquivado
Sequestro,Pina,Invasão Residencial,Objeto Contundente,1,4,21,0,1,Concluído
Estupro,Espinheiro,Assalto a Mão Armada,Objeto Contundente,3,0,22,3,0,Arquivado
Estelionato,Imbiribeira,Crime Cibernético,Nenhum,0,2,33,6,0,Arquivado
Ameaça,Casa Forte,Invasão Residencial,Explosivos,4,4,55,2,1,Concluído
Roubo,Santo Amaro,Fraude Online,Faca,3,4,50,2,1,Concluído
Homicídio,Espinheiro,Golpe Telefônico,Objeto Contundente,2,4,59,3,0,Arquivado
Tráfico de Drogas,Afogados,Crime Cibernético,Nenhum,3,1,16,5,1,Concluído
Sequestro,Pina,Invasão Residencial,Objeto Contundente,2,1,24,0,0,Arquivado
Latrocínio,Espinheiro,Arrombamento,Explosivos,3,3,28,3,1,Concluído
Sequestro,Santo Amaro,Crime Cibernético,Objeto Contundente,2,2,20,2,1,Concluído
Tráfico de Drogas,Imbiribeira,Estupro Coletivo,Nenhum,0,4,60,6,0,Arquivado
Latrocínio,Boa Viagem,Assalto a Mão Armada,Explosivos,1,1,40,8,0,Arquivado
Sequestro,Tamarineira,Golpe Telefônico,Nenhum,3,0,52,7,1,Concluído
Latrocínio,Torre,Golpe Telefônico,Nenhum,2,2,44,4,1,Concluído
Violência Doméstica,Boa Viagem,Estelionato Bancário,Faca,2,3,28,8,0,Arquivado
Furto,Pina,Emboscada,Faca,1,2,18,0,1,Concluído
Estelionato,Torre,Emboscada,Explosivos,0,2,41,4,0,Arquivado
Roubo,Tamarineira,Uso de Arma de Fogo,Arma de Fogo,1,4,30,7,1,Concluído
Sequestro,Torre,Emboscada,Nenhum,4,2,60,4,0,Arquivado
Latrocínio,Santo Amaro,Invasão Residencial,Faca,0,3,37,2,0,Arquivado
Furto,Tamarineira,Golpe Telefônico,Arma de Fogo,0,3,15,7,1,Concluído
Furto,Boa Viagem,Assalto a Mão Armada,Arma de Fogo,4,4,63,8,1,Concluído
Sequestro,Torre,Crime Cibernético,Objeto Contundente,3,2,29,4,1,Concluído
